item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
24;RNRJS37P;RNRJS37P;RNRJS37P;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+040;P;SCHNEIDER; TM241CE40T
25;RNRJS38P;RNRJS38P;RNRJS38P;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+015;P;SCHNEIDER; TM241CE40T
26;RNRJS39P;RNRJS39P;RNRJS39P;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+565;P;SCHNEIDER; TM241CE40T
27;RNRJS40P;RNRJS40P;RNRJS40P;D4;D4_5:Pod.Biskupice-Ivanka západ;;20+451;P;SCHNEIDER; TM241CE40T
28;RNRJS41P;RNRJS41P;RNRJS41P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+090;P;SCHNEIDER; TM241CE40T
29;RNRJS42P;RNRJS42P;RNRJS42P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+608;P;SCHNEIDER; TM241CE40T
30;RNRJS43P;RNRJS43P;RNRJS43P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+914;P;SCHNEIDER; TM241CE40T
31;RNRJS44P;RNRJS44P;RNRJS44P;D4;D4_5:Pod.Biskupice-Ivanka západ;;22+607;P;SCHNEIDER; TM241CE40T
32;RNRJS45P;RNRJS45P;RNRJS45P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+018;P;SCHNEIDER; TM241CE40T
33;RNRJS46P;RNRJS46P;RNRJS46P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;P;SCHNEIDER; TM241CE40T
34;RNRJS47P;RNRJS47P;RNRJS47P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+598;P;SCHNEIDER; TM241CE40T
35;RNRJS48P;RNRJS48P;RNRJS48P;D4;D4_6:Ivanka západ-Ivanka sever;;24+270;P;SCHNEIDER; TM241CE40T
36;RNRJS49P;RNRJS49P;RNRJS49P;D4;D4_6:Ivanka západ-Ivanka sever;;24+614;P;SCHNEIDER; TM241CE40T
40;SCJS05P;SCJS05P;SCJS05P;D4;D4_6:Ivanka západ-Ivanka sever;;23+849;P;SCHNEIDER; TM241CE40T
41;SCJS02P;SCJS02P;SCJS02P;D4;D4_1:Jarovce-Rusovce;;1+896;P;SCHNEIDER; TM241CE40T
42;RNRJS02L;RNRJS02L;RNRJS02L;D4;D4_1:Jarovce-Rusovce;;1+965;L;SCHNEIDER; TM241CE40T
43;RNRJS03P;RNRJS03P;RNRJS03P;D4;D4_1:Jarovce-Rusovce;;2+314;P;SCHNEIDER; TM241CE40T
44;SCJS03L;SCJS03L;SCJS03L;D4;D4_1:Jarovce-Rusovce;;2+441;L;SCHNEIDER; TM241CE40T
45;RNRJS04L;RNRJS04L;RNRJS04L;D4;D4_1:Jarovce-Rusovce;;0+756;L;SCHNEIDER; TM241CE40T
46;RNRJS05L;RNRJS05L;RNRJS05L;D4;D4_1:Jarovce-Rusovce;;2+946;L;SCHNEIDER; TM241CE40T
47;RNRJS07L;RNRJS07L;RNRJS07L;D4;D4_1:Jarovce-Rusovce;;1+615;L;SCHNEIDER; TM241CE40T
48;RNRJS08L;RNRJS08L;RNRJS08L;D4;D4_1:Jarovce-Rusovce;;3+803;L;SCHNEIDER; TM241CE40T
49;RNRJS09L;RNRJS09L;RNRJS09L;D4;D4_1:Jarovce-Rusovce;;4+289;L;SCHNEIDER; TM241CE40T
50;RNRJS14P;RNRJS14P;RNRJS14P;D4;D4_2:Rusovce-Ketelec;;7+894;P;SCHNEIDER; TM241CE40T
51;RNRJS17P;RNRJS17P;RNRJS17P;D4;D4_2:Rusovce-Ketelec;;8+678;P;SCHNEIDER; TM241CE40T
52;RADPJS20P;RADPJS20P;RADPJS20P;D4;D4_2:Rusovce-Ketelec;;0+402 VETVY PS;P;SCHNEIDER; TM241CE40T
53;RNRSR01P;RNRSR01P;RNRSR01P;D4;D4_7:Ivanka sever-Cierna voda;;25+130;P;SCHNEIDER; TM241CE40T
54;RNRSR03P;RNRSR03P;RNRSR03P;D4;D4_7:Ivanka sever-Cierna voda;;25+685;P;SCHNEIDER; TM241CE40T
55;RNRSR05P;RNRSR05P;RNRSR05P;D4;D4_8:Cierna voda-Raca;;26+361;P;SCHNEIDER; TM241CE40T
56;SCSR01P;SCSR01P;SCSR01P;D4;D4_8:Cierna voda-Raca;;26+580;P;SCHNEIDER; TM241CE40T
57;RNRSR06P;RNRSR06P;RNRSR06P;D4;D4_8:Cierna voda-Raca;;27+015;P;SCHNEIDER; TM241CE40T
58;RNRSR07L;RNRSR07L;RNRSR07L;D4;D4_8:Cierna voda-Raca;;27+113;L;SCHNEIDER; TM241CE40T
59;RNRSR08P;RNRSR08P;RNRSR08P;D4;D4_8:Cierna voda-Raca;;28+328;P;SCHNEIDER; TM241CE40T
60;SCSR02P;SCSR02P;SCSR02P;D4;D4_8:Cierna voda-Raca;;0+234 V4;P;SCHNEIDER; TM241CE40T
61;SCSR03P;SCSR03P;SCSR03P;D4;D4_8:Cierna voda-Raca;;0+262 V3;P;SCHNEIDER; TM241CE40T
62;RNRMP01;RNRMP01;RNRMP01;R7;R7_1:Prievoz-Ketelec;;0+193;-;SCHNEIDER; TM241CE40T
63;RNRPK01L;RNRPK01L;RNRPK01L;R7;R7_1:Prievoz-Ketelec;;0+412;L;SCHNEIDER; TM241CE40T
64;RNRPK03L;RNRPK03L;RNRPK03L;R7;R7_1:Prievoz-Ketelec;;;L;SCHNEIDER; TM241CE40T
65;RNRPK04L;RNRPK04L;RNRPK04L;R7;R7_1:Prievoz-Ketelec;;1+065;L;SCHNEIDER; TM241CE40T
66;RNRPK06L;RNRPK06L;RNRPK06L;R7;R7_1:Prievoz-Ketelec;;1+923;L;SCHNEIDER; TM241CE40T
67;RNRPK07L;RNRPK07L;RNRPK07L;R7;R7_1:Prievoz-Ketelec;;2+597;L;SCHNEIDER; TM241CE40T
68;RNRPK08L;RNRPK08L;RNRPK08L;R7;R7_1:Prievoz-Ketelec;;2+853;L;SCHNEIDER; TM241CE40T
69;RNRPK09L;RNRPK09L;RNRPK09L;R7;R7_1:Prievoz-Ketelec;;4+153;L;SCHNEIDER; TM241CE40T
70;RNRPK11L;RNRPK11L;RNRPK11L;R7;R7_1:Prievoz-Ketelec;;4+607;L;SCHNEIDER; TM241CE40T
71;RNRPK13L;RNRPK13L;RNRPK13L;R7;R7_1:Prievoz-Ketelec;;5+582;L;SCHNEIDER; TM241CE40T
72;RNRPK14L;RNRPK14L;RNRPK14L;R7;R7_1:Prievoz-Ketelec;;5+653;L;SCHNEIDER; TM241CE40T
73;RNRPK15L;RNRPK15L;RNRPK15L;R7;R7_1:Prievoz-Ketelec;;5+994;L;SCHNEIDER; TM241CE40T
